Date,PortID,Title,Market Value,Proportion Pct
2018-07-13,P1800017,Cash,88088.7000,9.356765609
2018-07-13,P1800017,Accrued Interest,4.8700,.000517291
2018-07-13,P1800017,Account Receivables,643.2000,.068320586
2018-07-13,P1800017,Accrued Management Fee,-529.8600,-.056281632
